SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Материал наружных стен дома"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Материал наружных стен дома";
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Другой материал";173
"г. Павлово";"Лицо";"Не указано";3393
"г. Павлово";"Лицо";"Кирпич, камень";28088
"г. Павлово";"Лицо";"Панель";16685
"г. Павлово";"Лицо";"Блок";388
"г. Павлово";"Лицо";"Дерево";11117
"г. Павлово";"Лицо";"Смешанный материал";4188
"г. Павлово";"Лицо";"Другой материал";814
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Не указано";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Кирпич, камень";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Панель";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Блок";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Дерево";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Смешанный материал";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Другой материал";0
"г. Саров";"Лицо";"Не указано";7625
"г. Саров";"Лицо";"Кирпич, камень";69233
"г. Саров";"Лицо";"Панель";2778
"г. Саров";"Лицо";"Блок";1797
"г. Саров";"Лицо";"Дерево";2277
"г. Саров";"Лицо";"Смешанный материал";1188
"г. Саров";"Лицо";"Другой материал";533
"Всего";"Лицо";"Не указано";131746
"Всего";"Лицо";"Кирпич, камень";1450407
"Всего";"Лицо";"Панель";1013423
"Всего";"Лицо";"Блок";66794
"Всего";"Лицо";"Дерево";662444
"Всего";"Лицо";"Смешанный материал";120705
"Всего";"Лицо";"Другой материал";20409


"INFO";"Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
